qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,x,y,z
2483649608,-902,-74,371
2488649608,-901,-80,365
2493649608,-904,-72,366
2498649608,-902,-75,364
2503649608,-902,-71,369
2508649608,-901,-70,366
2513649608,-899,-73,370
2518649608,-897,-76,365
2523649608,-896,-74,378
2528649608,-895,-74,385
2533649608,-894,-75,388
2538649608,-907,-67,389
2541050742,-920,-61,381
2546050742,-925,-59,365
2551050742,-923,-64,324
2556050742,-911,-73,304
2561050742,-912,-69,310
2566050742,-907,-60,325
2571050742,-896,-62,345
2576050742,-897,-63,358
2581050742,-894,-72,376
2586050742,-895,-77,393
2591050742,-899,-74,376
2596050742,-893,-76,374
2601050742,-889,-75,386
2606050742,-888,-71,403
2611050742,-888,-69,409
2616050742,-898,-66,388
2621050742,-907,-64,359
2626050742,-907,-69,349
2631050742,-902,-67,344
2636050742,-897,-72,350
2641050742,-897,-74,349
2646050742,-895,-83,350
2651050742,-893,-81,368
2656050742,-896,-73,372
2661050742,-903,-73,372
2666050742,-900,-73,377
2671050742,-907,-72,374
2676050742,-902,-68,380
2681050742,-901,-70,386
2686050742,-902,-71,384
2691050742,-904,-70,389
2696050742,-906,-68,387
2701050742,-906,-71,389
2706050742,-905,-70,387
2711050742,-905,-66,386
2716050742,-903,-68,377
2718421348,-905,-65,372
2723421348,-902,-65,366
2728421348,-899,-59,365
2733421348,-896,-63,360
2738421348,-897,-60,358
2743421348,-898,-63,356
2748421348,-895,-67,361
2753421348,-894,-65,364
2758421348,-893,-64,360
2763421348,-897,-63,360
2768421348,-894,-64,366
2773421348,-894,-66,368
2778421348,-896,-70,375
2783421348,-896,-66,376
2788421348,-897,-64,376
2793421348,-896,-70,378
2798421348,-900,-73,379
2803421348,-899,-68,381
2808421348,-899,-72,380
2813421348,-901,-70,379
2818421348,-900,-71,379
2823421348,-903,-75,384
2828421348,-898,-70,385
2833421348,-904,-72,386
2838421348,-901,-72,378
2843421348,-899,-74,368
2848421348,-903,-78,344
2853421348,-895,-77,364
2858421348,-887,-75,404
2863421348,-892,-66,410
2868421348,-906,-72,392
2873421348,-913,-71,378
2878421348,-909,-69,374
