qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,val
3853314253,219
3861006560,228
3868698867,205
3876391174,189
3884083481,219
3891775788,249
3899468095,245
3907160402,235
3914852709,214
3922545016,168
3930138558,140
3937830865,123
3945523172,86
3953215479,44
3960907786,4
3968600093,-21
3976292400,16
3983984707,42
3991677014,-16
3999369321,-63
4007061628,-79
4014753935,-119
4022446242,-149
4030138549,-154
4037830856,-156
4045523163,-128
4053215470,-70
4060907777,-53
4068600084,-74
4076292391,-70
4083984698,-42
4091677005,-56
4099369312,-130
4107061619,-177
4114753926,-154
4122446233,-105
4130138540,11
4137830847,102
4145523154,35
4153215461,9
4160907768,100
4168600075,154
4176292382,163
4183984689,147
4191676996,133
4199369303,144
4207061610,140
4214753917,91
4222446224,39
4230138531,39
4237830838,63
4245523145,60
4253215452,-4
4260907759,-107
4268600066,-175
4276292373,-196
4283984680,-207
4291676987,-198
4299369294,-156
4307061601,-102
4314753908,-74
4322446215,-77
4330138522,-95
4337830829,-114
4345523136,-70
4353215443,56
4360907750,135
4368600057,70
4376292364,-39
4383984671,-102
4391676978,-119
4399369285,-126
4407061592,-156
4414753899,-149
4422446206,-23
4430138513,263
4437830820,745
4445523127,1410
4453215434,1728
4460907741,822
4468600048,-488
4476292355,-488
4483984662,16
4491608722,-179
4499301029,-331
4506993336,-151
4514685643,-142
4522377950,-200
4530070257,-130
4537762564,-98
4545454871,-133
4553147178,-156
4560839485,-168
4568531792,-142
4576224099,-102
4583916406,-95
4591608713,-107
4599301020,-91
4606993327,-49
4614685634,-11
4622377941,14
4630070248,37
4637762555,49
4645454862,70
4653147169,107
4660839476,121
4668531783,116
4676224090,121
4683916397,121
4691608704,109
4699301011,86
4706993318,46
4714685625,-2
4722377932,-49
4730070239,-86
4737762546,-121
4745454853,-147
4753147160,-142
4760839467,-126
4768531774,-123
4776224081,-130
4783916388,-133
4791608695,-114
4799301002,-93
4806993309,-84
4814685616,-72
4822377923,-63
4830070230,-51
4837762537,-37
4845454844,-28
4853147151,-25
4860839458,-21
4868531765,-23
4876224072,-39
4883916379,-58
4891608686,-56
4899300993,-39
4906993300,-18
4914685607,9
4922377914,46
4930070221,105
4937762528,165
4945454835,149
4953147142,65
4960839449,-16
4968531756,-42
4976224063,-2
4983916370,25
4991608677,30
4999300984,60
5006993291,114
